Date,Close,SMA_50,SMA_200,Signal,Crossover,Position,Buy_Signal,Sell_Signal,Daily_Return,Strategy_Return,BuyHold_Return,Strategy_Cumulative,BuyHold_Cumulative,Strategy_Value,BuyHold_Value
2021-12-01,161.23367309570312,146.10322967529297,135.3168050765991,1,1.0,0.0,False,False,-0.003206422277984289,-0.0,-0.003206422277984289,1.0,1.276219429675412,100000.0,127621.9429675412
2021-12-02,160.24533081054688,146.45790130615234,135.48634696960448,1,0.0,1.0,False,False,-0.006129875144440855,-0.006129875144440855,-0.006129875144440855,0.9938701248555591,1.268396363914592,99387.01248555591,126839.63639145921
2021-12-03,158.36656188964844,146.75584564208984,135.64571575164794,1,0.0,1.0,False,False,-0.011724328636568138,-0.011724328636568138,-0.011724328636568138,0.9822176648896855,1.2535252681026294,98221.76648896855,125352.52681026295
2021-12-06,161.7718963623047,147.12013885498047,135.84095798492433,1,0.0,1.0,False,False,0.021502862927775812,0.021502862927775812,0.021502862927775812,1.0033381567030484,1.2804796501191438,100333.81567030484,128047.96501191438
2021-12-07,167.506103515625,147.62940643310546,136.06555305480958,1,0.0,1.0,False,False,0.03544625044437866,0.03544625044437866,0.03544625044437866,1.0389027322859459,1.3258678524861973,103890.27322859458,132586.78524861974
2021-12-08,171.32240295410156,148.28261627197264,136.31171337127685,1,0.0,1.0,False,False,0.022783047055479955,0.022783047055479955,0.022783047055479955,1.0625721021216832,1.3560751621587386,106257.21021216831,135607.51621587385
2021-12-09,170.81353759765625,148.90766967773436,136.57656238555907,1,0.0,1.0,False,False,-0.002970220751466135,-0.002970220751466135,-0.002970220751466135,1.0594160284140324,1.3520473195715468,105941.60284140323,135204.73195715467
2021-12-10,175.59860229492188,149.6544155883789,136.86402187347412,1,0.0,1.0,False,False,0.02801338093317063,0.02801338093317063,0.02801338093317063,1.0890938531847014,1.389922736174377,108909.38531847014,138992.2736174377
2021-12-13,171.96823120117188,150.30608062744142,137.1015285873413,1,0.0,1.0,False,False,-0.020674259625670044,-0.020674259625670044,-0.020674259625670044,1.0665776441072394,1.361187112667086,106657.76441072395,136118.7112667086
2021-12-14,170.58851623535156,150.99874450683595,137.34513954162597,1,0.0,1.0,False,False,-0.00802308052006595,-0.00802308052006595,-0.00802308052006595,1.0580204057876648,1.350266198859282,105802.04057876648,135026.6198859282
2021-12-15,175.45181274414062,151.75017578125,137.62796901702882,1,0.0,1.0,False,False,0.02850893258300835,0.02850893258300835,0.02850893258300835,1.0881834382077125,1.3887608468916761,108818.34382077125,138876.08468916762
2021-12-16,168.5629425048828,152.34643646240235,137.88575317382814,1,0.0,1.0,False,False,-0.03926360253287198,-0.03926360253287198,-0.03926360253287198,1.0454574362070708,1.3342330929861066,104545.74362070707,133423.30929861066
2021-12-17,167.46693420410156,152.89556854248048,138.1317750930786,1,0.0,1.0,False,False,-0.0065020714784300715,-0.0065020714784300715,-0.0065020714784300715,1.0386597972291962,1.325557814046624,103865.97972291963,132555.7814046624
2021-12-20,166.10679626464844,153.42511993408203,138.39563842773438,1,0.0,1.0,False,False,-0.008121829816239656,-0.008121829816239656,-0.008121829816239656,1.0302239791191308,1.3147918590693506,103022.39791191308,131479.18590693505
2021-12-21,169.27725219726562,154.01983825683592,138.6523190689087,1,0.0,1.0,False,False,0.01908685257866205,0.01908685257866205,0.01908685257866205,1.0498877123315802,1.3398870974550323,104988.77123315801,133988.70974550323
2021-12-22,171.870361328125,154.69182373046874,138.92737087249756,1,0.0,1.0,False,False,0.015318709969591948,0.015318709969591948,0.015318709969591948,1.065970637697426,1.3604124392929444,106597.0637697426,136041.24392929443
2021-12-23,172.49664306640625,155.38806030273437,139.19591159820556,1,0.0,1.0,False,False,0.0036439193671420345,0.0036439193671420345,0.0036439193671420345,1.0698549487489364,1.3653696725277849,106985.49487489364,136536.96725277847
2021-12-27,176.45974731445312,156.10786346435546,139.48879699707032,1,0.0,1.0,False,False,0.02297496448392433,0.02297496448392433,0.02297496448392433,1.0944348281993939,1.396738992261538,109443.48281993938,139673.89922615382
2021-12-28,175.44204711914062,156.78620727539064,139.76217868804932,1,0.0,1.0,False,False,-0.005767322070902359,-0.005767322070902359,-0.005767322070902359,1.0881228700595553,1.3886835486441782,108812.28700595553,138868.3548644178
2021-12-29,175.53012084960938,157.43289520263673,140.0283061981201,1,0.0,1.0,False,False,0.000502010389840768,0.000502010389840768,0.000502010389840768,1.0886691190457485,1.3893806822137986,108866.91190457485,138938.06822137986
2021-12-30,174.37547302246094,158.01330169677735,140.29260509490967,1,0.0,1.0,False,False,-0.006578060913760342,-0.006578060913760342,-0.006578060913760342,1.0815077872657357,1.3802412514537943,108150.77872657357,138024.12514537942
2021-12-31,173.7589569091797,158.5716067504883,140.57442157745362,1,0.0,1.0,False,False,-0.0035355666860432677,-0.0035355666860432677,-0.0035355666860432677,1.0776840443623825,1.3753613164664515,107768.40443623826,137536.13164664517
2022-01-03,178.10365295410156,159.21250671386719,140.8805912399292,1,0.0,1.0,False,False,0.02500415588471072,0.02500415588471072,0.02500415588471072,1.1046306242020851,1.4097510652211795,110463.06242020852,140975.10652211795
2022-01-04,175.84326171875,159.82363647460937,141.1589009475708,1,0.0,1.0,False,False,-0.012691436687904845,-0.012691436687904845,-0.012691436687904845,1.0906112745715035,1.3918592988312186,109061.12745715036,139185.92988312186
2022-01-05,171.16583251953125,160.34219482421875,141.41796295166014,1,0.0,1.0,False,False,-0.026599991114245825,-0.026599991114245825,-0.026599991114245825,1.0616010243588052,1.3548358538500278,106160.10243588052,135483.58538500278
2022-01-06,168.30848693847656,160.79031799316405,141.67466972351073,1,0.0,1.0,False,False,-0.016693434308676314,-0.016693434308676314,-0.016693434308676314,1.043879257396648,1.332218990524743,104387.9257396648,133221.8990524743
2022-01-07,168.474853515625,161.2509536743164,141.9297734451294,1,0.0,1.0,False,False,0.0009884621992308773,0.0009884621992308773,0.0009884621992308773,1.0449110925831457,1.3335358386379743,104491.10925831458,133353.58386379742
2022-01-10,168.4944305419922,161.63928314208985,142.1819556427002,1,0.0,1.0,False,False,0.00011620147433677452,0.00011620147433677452,0.00011620147433677452,1.0450325127926547,1.333690797468505,104503.25127926547,133369.0797468505
2022-01-11,171.32240295410156,162.13830474853515,142.44740100860596,1,0.0,1.0,False,False,0.01678377381977958,0.01678377381977958,0.01678377381977958,1.0625721021216825,1.356075162158738,106257.21021216825,135607.5162158738
2022-01-12,171.76272583007812,162.66254791259766,142.72230434417725,1,0.0,1.0,False,False,0.0025701418400869702,0.0025701418400869702,0.0025701418400869702,1.0653030631394547,1.359560467671305,106530.30631394546,135956.0467671305
2022-01-13,168.4944305419922,163.10071014404298,142.96990867614747,1,0.0,1.0,False,False,-0.01902796588893918,-0.01902796588893918,-0.01902796588893918,1.0450325127926547,1.333690797468505,104503.25127926547,133369.0797468505
2022-01-14,169.3555450439453,163.5273681640625,143.21767906188964,1,0.0,1.0,False,False,0.005110640744523165,0.005110640744523165,0.005110640744523165,1.0503732985318843,1.3405068119986432,105037.32985318844,134050.6811998643
2022-01-18,166.1557159423828,163.90038665771485,143.43532749176026,1,0.0,1.0,False,False,-0.01889415017814855,-0.01889415017814855,-0.01889415017814855,1.0305273876863057,1.3151790749779098,103052.73876863057,131517.90749779096
2022-01-19,162.66232299804688,164.19296966552736,143.63399921417238,1,0.0,1.0,False,False,-0.021024813528216724,-0.021024813528216724,-0.021024813528216724,1.0088607415244808,1.2875276801702866,100886.07415244808,128752.76801702866
2022-01-20,160.979248046875,164.468330078125,143.8160252380371,1,0.0,1.0,False,False,-0.010347048536815007,-0.010347048536815007,-0.010347048536815007,0.9984220104650399,1.2742055687710718,99842.201046504,127420.55687710718
2022-01-21,158.92433166503906,164.69535095214843,143.97579654693604,1,0.0,1.0,False,False,-0.012765101134262768,-0.012765101134262768,-0.012765101134262768,0.9856770525267796,1.2579402058198683,98567.70525267796,125794.02058198683
2022-01-24,158.15127563476562,164.96346984863283,144.11884586334227,1,0.0,1.0,False,False,-0.004864302540549814,-0.004864302540549814,-0.004864302540549814,0.980882421136012,1.251821204080839,98088.2421136012,125182.1204080839
2022-01-25,156.35073852539062,165.19655731201172,144.26146369934082,1,0.0,1.0,False,False,-0.011384904118846073,-0.011384904118846073,-0.011384904118846073,0.9697151688195169,1.2375693396984402,96971.5168819517,123756.93396984402
2022-01-26,156.2626953125,165.3863931274414,144.38810607910156,1,0.0,1.0,False,False,-0.0005631135082635463,-0.0005631135082635463,-0.0005631135082635463,0.9691691091087866,1.2368724476858433,96916.91091087867,123687.24476858432
2022-01-27,155.80279541015625,165.5668359375,144.52413681030274,1,0.0,1.0,False,False,-0.0029431202464800243,-0.0029431202464800243,-0.0029431202464800243,0.9663167278815056,1.2332321833427458,96631.67278815056,123323.21833427457
2022-01-28,166.67433166503906,165.9451382446289,144.70249641418457,1,0.0,1.0,False,False,0.06977754299120953,0.06977754299120953,0.06977754299120953,1.0337439349043822,1.3192840950340874,103374.39349043822,131928.40950340874
