Label,Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Maximum Drawdown (%)
MA Crossover Strategy,-14.22%,-3.59%,20.80%,-0.173,-30.31%
Buy & Hold,62.74%,12.31%,28.52%,0.432,-33.36%
